frame_index,time_s,x_min,y_min,x_max,y_max,x_center,y_center,dy_px
279,4.649129213483146,175,1271,439,1360,307.0,1315.5,811.0
280,4.665792759051186,176,1194,430,1288,303.0,1241.0,736.5
281,4.682456304619226,174,1123,430,1212,302.0,1167.5,663.0
282,4.699119850187266,179,1016,423,1128,301.0,1072.0,567.5
283,4.715783395755306,177,932,426,1040,301.5,986.0,481.5
284,4.732446941323346,175,852,422,950,298.5,901.0,396.5
285,4.749110486891386,177,757,424,856,300.5,806.5,302.0
286,4.765774032459426,179,662,419,764,299.0,713.0,208.5
287,4.782437578027466,170,573,427,681,298.5,627.0,122.5
288,4.799101123595506,165,511,428,609,296.5,560.0,55.5
289,4.815764669163546,154,474,440,556,297.0,515.0,10.5
290,4.832428214731586,146,452,442,525,294.0,488.5,-16.0
291,4.8490917602996255,146,444,444,516,295.0,480.0,-24.5
292,4.8657553058676655,147,451,445,525,296.0,488.0,-16.5
293,4.882418851435705,150,471,446,546,298.0,508.5,4.0
294,4.899082397003745,156,504,446,581,301.0,542.5,38.0
295,4.915745942571785,168,544,439,629,303.5,586.5,82.0
296,4.932409488139825,180,605,443,693,311.5,649.0,144.5
297,4.949073033707865,179,674,434,767,306.5,720.5,216.0
298,4.965736579275905,190,751,430,851,310.0,801.0,296.5
299,4.982400124843945,194,842,436,943,315.0,892.5,388.0
300,4.999063670411985,194,946,436,1042,315.0,994.0,489.5
301,5.015727215980025,196,1045,438,1144,317.0,1094.5,590.0
302,5.032390761548065,193,1148,440,1237,316.5,1192.5,688.0
303,5.049054307116105,189,1228,446,1318,317.5,1273.0,768.5
304,5.065717852684145,181,1305,450,1382,315.5,1343.5,839.0
305,5.082381398252185,181,1360,459,1431,320.0,1395.5,891.0
306,5.099044943820225,170,1394,463,1468,316.5,1431.0,926.5
307,5.115708489388265,167,1418,463,1486,315.0,1452.0,947.5
308,5.132372034956305,167,1424,461,1491,314.0,1457.5,953.0
309,5.149035580524345,167,1411,460,1480,313.5,1445.5,941.0
310,5.165699126092385,167,1385,456,1456,311.5,1420.5,916.0
311,5.1823626716604245,171,1341,448,1416,309.5,1378.5,874.0
312,5.1990262172284645,174,1254,441,1359,307.5,1306.5,802.0
313,5.215689762796504,179,1184,430,1282,304.5,1233.0,728.5
314,5.232353308364544,178,1086,420,1193,299.0,1139.5,635.0
315,5.249016853932584,184,1000,418,1096,301.0,1048.0,543.5
316,5.265680399500624,174,908,421,1000,297.5,954.0,449.5
317,5.282343945068664,176,808,422,907,299.0,857.5,353.0
318,5.299007490636704,172,716,417,824,294.5,770.0,265.5
319,5.315671036204744,164,648,425,744,294.5,696.0,191.5
320,5.332334581772784,157,584,425,674,291.0,629.0,124.5
321,5.348998127340824,157,530,433,619,295.0,574.5,70.0
322,5.365661672908864,150,486,434,574,292.0,530.0,25.5
323,5.382325218476904,146,458,438,538,292.0,498.0,-6.5
324,5.398988764044944,144,447,442,520,293.0,483.5,-21.0
325,5.415652309612984,145,446,443,518,294.0,482.0,-22.5
326,5.432315855181024,151,464,441,541,296.0,502.5,-2.0
327,5.448979400749064,163,497,432,588,297.5,542.5,38.0
328,5.465642946317104,169,553,430,648,299.5,600.5,96.0
329,5.482306491885144,178,617,434,720,306.0,668.5,164.0
330,5.498970037453184,184,706,429,802,306.5,754.0,249.5
331,5.5156335830212235,187,794,437,893,312.0,843.5,339.0
332,5.5322971285892635,188,884,431,985,309.5,934.5,430.0
333,5.548960674157303,185,987,438,1075,311.5,1031.0,526.5
334,5.565624219725343,194,1063,439,1156,316.5,1109.5,605.0
335,5.582287765293383,199,1148,448,1234,323.5,1191.0,686.5
336,5.598951310861423,196,1220,449,1314,322.5,1267.0,762.5
337,5.615614856429463,193,1297,455,1385,324.0,1341.0,836.5
338,5.632278401997503,179,1370,459,1442,319.0,1406.0,901.5
339,5.648941947565543,172,1410,465,1478,318.5,1444.0,939.5
340,5.665605493133583,169,1430,464,1496,316.5,1463.0,958.5
341,5.682269038701623,169,1430,463,1495,316.0,1462.5,958.0
342,5.698932584269663,170,1407,459,1474,314.5,1440.5,936.0
343,5.715596129837703,175,1361,455,1437,315.0,1399.0,894.5
344,5.732259675405743,179,1298,448,1380,313.5,1339.0,834.5
345,5.748923220973783,184,1224,440,1317,312.0,1270.5,766.0
346,5.765586766541823,178,1154,440,1244,309.0,1199.0,694.5
347,5.782250312109863,179,1070,432,1168,305.5,1119.0,614.5
348,5.798913857677903,184,989,426,1086,305.0,1037.5,533.0
349,5.815577403245943,183,906,425,994,304.0,950.0,445.5
350,5.832240948813983,180,804,417,898,298.5,851.0,346.5
351,5.8489044943820225,169,714,419,810,294.0,762.0,257.5
352,5.8655680399500625,167,627,423,727,295.0,677.0,172.5
353,5.882231585518102,164,545,421,652,292.5,598.5,94.0
354,5.898895131086142,147,509,430,591,288.5,550.0,45.5
355,5.915558676654182,144,473,436,552,290.0,512.5,8.0
356,5.932222222222222,140,462,439,535,289.5,498.5,-6.0
357,5.948885767790262,140,462,439,535,289.5,498.5,-6.0
358,5.965549313358302,143,476,440,550,291.5,513.0,8.5
359,5.982212858926342,149,501,441,576,295.0,538.5,34.0
360,5.998876404494382,155,508,441,615,298.0,561.5,57.0
361,6.015539950062422,170,577,435,669,302.5,623.0,118.5
362,6.032203495630462,176,645,433,734,304.5,689.5,185.0
363,6.048867041198502,184,722,430,814,307.0,768.0,263.5
364,6.065530586766542,190,802,431,902,310.5,852.0,347.5
365,6.082194132334582,192,893,430,998,311.0,945.5,441.0
366,6.098857677902622,195,998,439,1096,317.0,1047.0,542.5
367,6.115521223470662,192,1094,435,1190,313.5,1142.0,637.5
368,6.132184769038702,192,1184,442,1272,317.0,1228.0,723.5
369,6.148848314606742,182,1261,455,1343,318.5,1302.0,797.5
370,6.165511860174782,178,1322,458,1393,318.0,1357.5,853.0
371,6.1821754057428215,176,1362,466,1432,321.0,1397.0,892.5
372,6.1988389513108615,172,1394,467,1463,319.5,1428.5,924.0
373,6.215502496878901,170,1410,467,1478,318.5,1444.0,939.5
